Código;Nombre comercial;Razón social;Dirección;Población;CP;Horario;Confianza;Fuente asociada;Tipo fuente;Fecha comprobación;Nota horario;Estado;Jornada;Orden;Día previsto;Hora prevista;Estado previsto
1165;INSTALACIONES YELAMO SL (FERRETERIA YELAMO);INSTALACIONES YELAMO SL (FERRETERIA YELAMO);Avenida CARLOS CANO, S/N - BDA DE LOS ROSALES, 41330, Los Rosales, Sevilla, España;Los Rosales;41330;Lunes 07:00-15:00 / 17:00-21:00 | Martes 07:00-15:00 / 17:00-21:00 | Miércoles 07:00-15:00 / 17:00-21:00 | Jueves 07:00-15:00 / 17:00-21:00 | Viernes 07:00-15:00 / 17:00-21:00 | Sábado 09:00-13:00 | Domingo Cerrado;high;Ferretería Yélamo;google-business;2026-09-21;;verified;15;12;Viernes;19:33;Abierto · cierra 21:00
1155;VIALSUR INVERSIONES SL;VIALSUR INVERSIONES SL;AUTOVIA A-, 92 KM 5,5, 41500, Alcala De Guadaira, Sevilla, España;Alcala De Guadaira;41500;Lunes 08:00-18:00 | Martes 08:00-18:00 | Miércoles 08:00-18:00 | Jueves 08:00-18:00 | Viernes 08:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;Concesur Alcalá de Guadaíra;official-web;2026-09-21;"Horario del centro/taller Concesur; confirmar departamento exacto.";associated;5;12;Viernes;14:38;Abierto · cierra 18:00
1146;MULTIMARCAS,SL;ANDALUCIA OUTLET CARS;CARRETERA SEVILLA-MALAGA, KM 5,50, 41500, Alcala De Guadaira, Sevilla, España;Alcala De Guadaira;41500;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;14;2;Jueves;10:29;Horario no verificado · confirmar antes
1140;STOCK IN SPAIN ELECTRONICS SOCIEDAD LIMITADA;STOCK IN SPAIN ELECTRONICS SOCIEDAD LIMITADA;P.I.C.A. AVDA DE LA PRENSA 37, 41007, Sevilla, Sevilla, España;Sevilla;41007;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;;;;;
1138;JUAN JOSE GALIANO VIDAL;JUAN JOSE GALIANO VIDAL;Calle HESPERIDES 3 1B, 41008, Sevilla, Sevilla, España;Sevilla;41008;Lunes 08:30-17:30 | Martes 08:30-17:30 | Miércoles 08:30-17:30 | Jueves 08:30-17:30 | Viernes 08:30-14:30 | Sábado Cerrado | Domingo Cerrado;high;Gestoría Galiano;google-business;2026-09-21;;verified;7;14;Martes;14:32;Abierto · cierra 17:30
1137;MIRA COMPLEMENTOS SL;MIRA COMPLEMENTOS SL;Calle ELECTRICIDAD, 3 3ª B, 41006, Sevilla, Sevilla, España;Sevilla;41006;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;10;8;Viernes;12:25;Horario no verificado · confirmar antes
1134;TALLERES CALONGE & CURIEL SOCIEDAD LIMITADA;TALLERES CALONGE & CURIEL SOCIEDAD LIMITADA;Calle ALONSO MUDARRA, 12, 41013, Sevilla, Sevilla, España;Sevilla;41013;Lunes 08:00-14:00 / 15:30-18:30 | Martes 08:00-14:00 / 15:30-18:30 | Miércoles 08:00-14:00 / 15:30-18:30 | Jueves 08:00-14:00 / 15:30-18:30 | Viernes 07:00-14:00 | Sábado Cerrado | Domingo Cerrado;high;Talleres Calonge & Curiel;official-web;2026-09-21;;verified;3;7;Miércoles;10:49;Abierto · cierra 14:00
1084;AUTOMOVILES LA ESTACION;JUAN MANUEL CORONA RUIZ;CTRA SEVILLA-MALAGA, KM.67, 41540, La Puebla De Cazalla, Sevilla, España;La Puebla De Cazalla;41540;Lunes 09:00-20:30 | Martes 09:00-20:30 | Miércoles 09:00-20:30 | Jueves 09:00-20:30 | Viernes 09:00-20:30 | Sábado Cerrado | Domingo Cerrado;high;Automóviles La Estación;google-business;2026-09-21;;verified;15;6;Viernes;13:43;Abierto · cierra 20:30
1083;SCOOBIC NIMO ANDALUCIA,SLU;SCOOBIC NIMO ANDALUCIA,SLU;Avenida FERNANDEZ MURUBE, 30 CP, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 07:00-18:00 | Martes 07:00-18:00 | Miércoles 07:00-18:00 | Jueves 07:00-18:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;medium;Nimo Gordillo / Scoobic · centro Fernández Murube;google-maps;2026-09-21;"Horario del centro de Fernández Murube; confirmar departamento exacto.";associated;8;7;Miércoles;11:30;Abierto · cierra 18:00
1067;MARINA GALIANO VIDAL S.C.;MARINA GALIANO VIDAL S.C.;HESPERIDES, Nº 3, 1 B, 41008, Sevilla, Sevilla, España;Sevilla;41008;Lunes 08:30-17:30 | Martes 08:30-17:30 | Miércoles 08:30-17:30 | Jueves 08:30-17:30 | Viernes 08:30-14:30 | Sábado Cerrado | Domingo Cerrado;high;Gestoría Galiano;google-business;2026-09-21;;verified;6;15;Lunes;14:48;Abierto · cierra 17:30
1066;MARTINA PEREZ CARS;J.ABRAHAM PEREZ BATLLE;P.I.BRENES C/15, 41410, Carmona, Sevilla, España;Carmona;41410;Lunes 09:30-14:00 / 17:30-20:30 | Martes 09:30-14:00 / 17:30-20:30 | Miércoles 09:30-14:00 / 17:30-20:30 | Jueves 09:30-14:00 / 17:30-20:30 | Viernes 09:30-14:00 / 17:30-20:30 | Sábado Cerrado | Domingo Cerrado;high;Martina Perez Cars;google-business;2026-09-21;;verified;15;11;Viernes;18:37;Abierto · cierra 20:30
1059;scoobicspain.com;INMOVE SERVICIOS DE MOVILIDAD SL;Avenida FERNANDEZ MURUBE, 30 CP, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 07:00-18:00 | Martes 07:00-18:00 | Miércoles 07:00-18:00 | Jueves 07:00-18:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;medium;Nimo Gordillo / Scoobic · centro Fernández Murube;google-maps;2026-09-21;"Horario del centro de Fernández Murube; confirmar departamento exacto.";associated;7;15;Martes;15:01;Abierto · cierra 18:00
1055;RESCO TRUCK SOCIEDAD LIMITADA;RESCO TRUCK SOCIEDAD LIMITADA;P.I.CALONGE, C/RODIO, 15, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 09:00-14:00 / 16:00-20:00 | Martes 09:00-14:00 / 16:00-20:00 | Miércoles 09:00-14:00 / 16:00-20:00 | Jueves 09:00-14:00 / 16:00-20:00 | Viernes 09:00-14:00 / 16:00-20:00 | Sábado Cerrado | Domingo Cerrado;high;Resco Autorecambios / Resco Truck;web-directory;2026-09-21;;verified;6;10;Lunes;12:23;Abierto · cierra 14:00
1051;GROUP SUR BISMARCK SOCIEDAD LIMITADA;GROUP SUR BISMARCK SOCIEDAD LIMITADA;CARRETERA ECIJA-JEREZ N-333, KM 16,00, 41719, Utrera, Sevilla, España;Utrera;41719;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;15;4;Viernes;11:52;Horario no verificado · confirmar antes
1047;RECAMBIOS VEGA E HIJOS, SL;RECAMBIOS VEGA E HIJOS, SL;Calle cruz de la cava, 22, 41600, Arahal, Sevilla, España;Arahal;41600;Lunes 08:00-14:00 / 15:00-20:30 | Martes 08:00-14:00 / 15:00-20:30 | Miércoles 08:00-14:00 / 15:00-20:30 | Jueves 08:00-14:00 / 15:00-20:30 | Viernes 08:00-14:00 / 15:00-20:30 | Sábado 08:00-14:00 | Domingo Cerrado;high;Repuestos Vega;google-business;2026-09-21;"La ficha 379 figura nº17; el negocio publicado está en nº22.";verified;12;11;Martes;13:39;Abierto · cierra 14:00
1040;COM. DE SEVILLA DE LA D. G. DE LA GUARDIA CIVIL;COM. DE SEVILLA DE LA D. G. DE LA GUARDIA CIVIL;CM VILLANUEVA DEL PITAMO, Nº 6, 41013, Sevilla, Sevilla, España;Sevilla;41013;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;3;10;Miércoles;12:16;Horario no verificado · confirmar antes
1039;TALLER DE REPARACIONES LLANO SL;TALLER DE REPARACIONES LLANO SL;Calle SAN JUAN DE RIBERA 10, 41009, Sevilla, Sevilla, España;Sevilla;41009;Lunes 08:00-15:00 | Martes 08:00-15:00 | Miércoles 08:00-15:00 | Jueves 08:00-15:00 | Viernes 08:00-14:00 | Sábado Cerrado | Domingo Cerrado;medium;Talleres Llano S.L.;google-business;2026-09-21;La dirección pública actual difiere de la dirección antigua de la ficha.;associated;;;;;
1030;AUTOS ANTONIO SANCHEZ SL;AUTOS ANTONIO SANCHEZ SL;Calle Dr. Leyva Rincón, s/n, 41702, Dos Hermanas, Sevilla, España;Dos Hermanas;41702;Lunes 09:00-14:00 / 16:00-19:30 | Martes 09:00-14:00 / 16:00-19:30 | Miércoles 09:00-14:00 / 16:00-19:30 | Jueves 09:00-14:00 / 16:00-19:30 | Viernes 09:00-14:00 | Sábado Cerrado | Domingo Cerrado;high;CristalBox Dos Hermanas;google-business;2026-09-21;El nombre de la calle pública actual difiere de la ficha, pero coincide el teléfono.;verified;1;13;Lunes;13:25;Abierto · cierra 14:00
1026;CRN PERFORMANCE;JUAN SALVADOR JURADO GIL;SIERRA DE CALVITERIO, 32, 41704, Dos Hermanas, Sevilla, España;Dos Hermanas;41704;Lunes 08:00-14:00 | Martes 08:00-14:00 | Miércoles 08:00-14:00 | Jueves 08:00-14:00 | Viernes 07:00-14:00 | Sábado Cerrado | Domingo Cerrado;high;CRN Performance;google-business;2026-09-21;;verified;2;8;Martes;11:29;Abierto · cierra 14:00
1025;REPUESTOS LEIVA;JOSE CARLOS SANCHEZ LEIVA;Calle ESTRELLA CANOPUS, Nº10, 41800, Sanlucar La Mayor, Sevilla, España;Sanlucar La Mayor;41800;Lunes 08:00-16:00 | Martes 08:00-16:00 | Miércoles 08:00-16:00 | Jueves 08:00-16:00 | Viernes 08:00-16:00 | Sábado 09:00-13:30 | Domingo Cerrado;high;Recambios Leiva;google-business;2026-09-21;;verified;11;11;Lunes;13:58;Abierto · cierra 16:00
1023;GLS;CORINTO EXPRESS SOCIEDAD LIMITADA;Avenida REPUBLICA ARGENTINA, 43 - LOCAL, 41011, Sevilla, Sevilla, España;Sevilla;41011;Lunes 10:00-15:00 / 16:00-18:00 | Martes 10:00-15:00 / 16:00-18:00 | Miércoles 10:00-15:00 / 16:00-18:00 | Jueves 10:00-15:00 / 16:00-18:00 | Viernes 10:00-15:00 / 16:00-18:00 | Sábado Cerrado | Domingo Cerrado;medium;GLS;google-business;2026-09-21;"GLS aparece en una dirección pública distinta; confirmar que sea la delegación asociada a Corinto Express.";associated;7;9;Martes;12:02;Abierto · cierra 15:00
1021;TALLERES HNOS MARAVER,SL;TALLERES HNOS MARAVER,SL;Calle HERREROS, 3, 41840, Pilas, Sevilla, España;Pilas;41840;Lunes 07:00-15:00 | Martes 07:00-15:00 | Miércoles 07:00-15:00 | Jueves 07:00-15:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;high;Talleres Hermanos Maraver;google-business;2026-09-21;;verified;18;1;Miércoles;08:12;Abierto · cierra 15:00
1018;GLASS UMBRETE;JORGE SILVA LOPEZ;Avenida DE LOS POETAS 22C, 41806, Umbrete, Sevilla, España;Umbrete;41806;Lunes 09:00-14:00 / 16:00-19:00 | Martes 09:00-14:00 / 16:00-19:00 | Miércoles 09:00-14:00 / 16:00-19:00 | Jueves 09:00-14:00 / 16:00-19:00 | Viernes 09:00-14:00 / 16:00-19:00 | Sábado Cerrado | Domingo Cerrado;high;Glass Talleres Umbrete;google-business;2026-09-21;;verified;13;6;Miércoles;12:55;Abierto · cierra 14:00
1017;AVISA EXTREMADURA, SL;AVISA EXTREMADURA, SL;FERNANDEZ MURUBE, 32, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 09:00-14:00 / 16:30-20:30 | Martes 09:00-14:00 / 16:30-20:30 | Miércoles 09:00-14:00 / 16:30-20:30 | Jueves 09:00-14:00 / 16:30-20:30 | Viernes 09:00-14:00 / 16:30-20:30 | Sábado 10:00-14:00 | Domingo Cerrado;medium;AVISA Sevilla;google-business;2026-09-21;"El grupo tiene varios centros en Sevilla; confirmar qué centro corresponde a la ficha.";associated;;;;;
1013;DISTRIBUCIONES CALVER SL;DISTRIBUCIONES CALVER SL;Calle ANTRACITA , 22 - P.I. CALONGE, SEC, 41007, Sevilla, Sevilla, España;Sevilla;41007;Lunes 08:30-18:00 | Martes 08:30-18:00 | Miércoles 08:30-18:00 | Jueves 08:30-18:00 | Viernes 08:30-15:00 | Sábado Cerrado | Domingo Cerrado;high;Distribuciones Calver;official-web;2026-09-21;;verified;6;9;Lunes;11:54;Abierto · cierra 18:00
1009;AUTOREPUESTOS M.R. GUILLENA, SL;AUTOREPUESTOS M.R. GUILLENA, SL;Calle MONTE CALVARIO, 7, 41210, Guillena, Sevilla, España;Guillena;41210;Lunes 09:00-14:00 / 17:00-20:00 | Martes 09:00-14:00 / 17:00-20:00 | Miércoles 09:00-14:00 / 17:00-20:00 | Jueves 09:00-14:00 / 17:00-20:00 | Viernes 09:00-14:00 / 17:00-20:00 | Sábado 09:00-13:00 | Domingo Cerrado;medium;Autorepuestos M.R. Guillena;google-business;2026-09-21;"Google publica C. Dr. Antonio González 4; las fichas tienen otras direcciones.";associated;;;;;
1008;(GLASSTALLER ALCALA);JUAN JOSE CRESPO GALISTEO;Avenida 28 DE FEBRERO, 16, 41500, Alcala De Guadaira, Sevilla, España;Alcala De Guadaira;41500;Lunes 09:00-14:00 / 16:30-19:30 | Martes 09:00-14:00 / 16:30-19:30 | Miércoles 09:00-14:00 / 16:30-19:30 | Jueves 09:00-14:00 / 16:30-19:30 | Viernes 09:00-14:00 / 16:30-19:30 | Sábado Cerrado | Domingo Cerrado;high;GLASS TALLERES ALCALÁ;google-maps;2026-09-21;;verified;4;10;Jueves;12:06;Abierto · cierra 14:00
1005;A2C EUROPE SL;A2C EUROPE SL;Calle PIESOLO DIEZ, 29, 41500, Alcala De Guadaira, Sevilla, España;Alcala De Guadaira;41500;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;;;;;
1003;JIMALCO 2010 SL;JIMALCO 2010 SL;Calle TONELEROS, 71, 41702, Dos Hermanas, Sevilla, España;Dos Hermanas;41702;Lunes 08:00-14:00 / 16:00-21:00 | Martes 08:00-14:00 / 16:00-21:00 | Miércoles 08:00-14:00 / 16:00-21:00 | Jueves 08:00-14:00 / 16:00-21:00 | Viernes 08:00-14:00 / 16:00-21:00 | Sábado 10:30-13:30 | Domingo Cerrado;high;Jimalco Peugeot Sevilla;google-business;2026-09-21;;verified;1;8;Lunes;10:57;Abierto · cierra 14:00
987;ROMAFORT ADVICE SOCIEDAD LIMITADA;ROMAFORT ADVICE SOCIEDAD LIMITADA;Calle MARIA AUXILIADORA, 38 1, 41710, Utrera, Sevilla, España;Utrera;41710;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;15;1;Viernes;10:00;Horario no verificado · confirmar antes
986;TRUCK TRAILER & BUS SOCIEDAD LIMITADA;TRUCK TRAILER & BUS SOCIEDAD LIMITADA;P.I. PARSI, C/ LAS MELIAS, 56, 41016, Sevilla, Sevilla, España;Sevilla;41016;Lunes 08:30-14:00 / 16:00-19:00 | Martes 08:30-14:00 / 16:00-19:00 | Miércoles 08:30-14:00 / 16:00-19:00 | Jueves 08:30-14:00 / 16:00-19:00 | Viernes 08:30-14:00 / 16:00-19:00 | Sábado Cerrado | Domingo Cerrado;high;T.T.B. Recambios;google-maps;2026-09-21;;verified;;;;;
979;MOTOS MUÑOZ ESTEPA SOCIEDAD LIMITADA;MOTOS MUÑOZ ESTEPA SOCIEDAD LIMITADA;Avenida BADIA POLESINE, 3 PUERTA C. CP, 41560, Estepa, Sevilla, España;Estepa;41560;Lunes 09:00-14:30 / 16:30-19:00 | Martes 09:00-14:30 / 16:30-19:00 | Miércoles 09:00-14:30 / 16:30-19:00 | Jueves 09:00-14:30 / 16:30-19:00 | Viernes 09:00-14:30 / 16:30-19:00 | Sábado Cerrado | Domingo Cerrado;high;Motos Muñoz;google-business;2026-09-21;;verified;17;11;Martes;18:02;Abierto · cierra 19:00
978;JORGE ARROYO MOTOS SL;JORGE ARROYO MOTOS SL;Avenida DE ESPAÑA, 110, 41704, Dos Hermanas, Sevilla, España;Dos Hermanas;41704;Lunes 09:00-14:00 / 17:00-20:00 | Martes 09:00-14:00 / 17:00-20:00 | Miércoles 09:00-14:00 / 17:00-20:00 | Jueves 09:00-14:00 / 17:00-20:00 | Viernes 09:00-14:00 / 17:00-20:00 | Sábado Cerrado | Domingo Cerrado;high;Automóviles Arroyo;google-business;2026-09-21;;verified;;;;;
977;SUMINISTROS DGR;AUTORECAMBIOS DIEGO GANFORNINA RUIZ SL;Calle UTRERA, 2, 41730, Las Cabezas De San Juan, Sevilla, España;Las Cabezas De San Juan;41730;Lunes 09:00-14:00 / 16:00-20:00 | Martes 09:00-14:00 / 16:00-20:00 | Miércoles 09:00-14:00 / 16:00-20:00 | Jueves 09:00-14:00 / 16:00-20:00 | Viernes 09:00-14:00 / 16:00-20:00 | Sábado 09:00-13:00 | Domingo Cerrado;medium;Autorecambios DGR Ganfornina;google-business;2026-09-21;"Google publica Av. Dr. Fleming 13; la ficha C. Utrera 2.";associated;14;6;Jueves;13:06;Abierto · cierra 14:00
973;AUTO REPARACION LOS LLANOS SL;AUTO REPARACION LOS LLANOS SL;Calle CRISTO DEL CALVARIO, 3 4 B, 41001, Sevilla, Sevilla, España;Sevilla;41001;Lunes 07:00-15:00 | Martes 07:00-15:00 | Miércoles 07:00-15:00 | Jueves 07:00-15:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;medium;Auto Reparación Los Llanos / Taller Los Llanos;google-business;2026-09-21;Coincide el teléfono con Taller Los Llanos, cuya ubicación pública actual está en Salteras. Confirmar si es la misma ficha.;associated;9;1;Jueves;07:56;Abierto · cierra 15:00
966;SUMINISTROS DAVID BAREA  038000794;DAVID BAREA NAVEZ;Calle MANUEL MANTERO, 1, 41720, Los Palacios Y Villafranca, Sevilla, España;Los Palacios Y Villafranca;41720;Lunes 09:00-14:00 / 17:00-20:00 | Martes 09:00-14:00 / 17:00-20:00 | Miércoles 09:00-14:00 / 17:00-20:00 | Jueves 09:00-14:00 / 17:00-20:00 | Viernes 09:00-14:00 / 17:00-20:00 | Sábado Cerrado | Domingo Cerrado;high;Suministros David Barea;google-business;2026-09-21;;verified;5;6;Viernes;11:12;Abierto · cierra 14:00
965;MI VEHICULO USADO S.L.;MI VEHICULO USADO S.L.;Calle MAIRENA DEL ALJARAFE, 2 - P.I. P, 41840, Pilas, Sevilla, España;Pilas;41840;Lunes 09:00-14:00 / 17:00-20:00 | Martes 09:00-14:00 / 17:00-20:00 | Miércoles 09:00-14:00 / 17:00-20:00 | Jueves 09:00-14:00 / 17:00-20:00 | Viernes 09:00-14:00 | Sábado Cerrado | Domingo Cerrado;medium;Mi Vehiculo Usado;google-business;2026-09-21;"Google publica una dirección distinta a la ficha; coincide la denominación.";associated;;;;;
960;CROMACAR SUR, SL;CROMACAR SUR, SL;Calle EBANISTERIA, 4 - POL. LA ABADIA, 41620, Marchena, Sevilla, España;Marchena;41620;Lunes 07:00-15:30 | Martes 07:00-15:30 | Miércoles 07:00-15:30 | Jueves 07:00-15:30 | Viernes 07:30-14:00 | Sábado Cerrado | Domingo Cerrado;high;CromacarSur;google-business;2026-09-21;;verified;17;8;Martes;14:37;Abierto · cierra 15:30
952;HERMANDAD NTRA SRA DEL ROCIO;HERMANDAD NTRA SRA DEL ROCIO;Calle ALCOBA, 59, 41701, Dos Hermanas, Sevilla, España;Dos Hermanas;41701;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;2;6;Martes;10:29;Horario no verificado · confirmar antes
949;CARTUYU SOCIEDAD LIMITADA;CARTUYU SOCIEDAD LIMITADA;CRTA. SU EMINENCIA, 26, 41006, Sevilla, Sevilla, España;Sevilla;41006;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;;;;;
940;RECAMBIOS ARIZA 038000775;JOSE ANGEL ARIZA NAVARRO;Avenida DE SEVILLA, N º178, 41330, Los Rosales, Sevilla, España;Los Rosales;41330;Lunes 07:00-15:00 | Martes 07:00-15:00 | Miércoles 07:00-15:00 | Jueves 07:00-15:00 | Viernes 07:00-15:00 | Sábado Cerrado | Domingo Cerrado;high;Recambios Ariza;google-business;2026-09-21;;verified;17;3;Martes;10:56;Abierto · cierra 15:00
932;CAGUYKICARS SOCIEDAD LIMITADA;CAGUYKICARS SOCIEDAD LIMITADA;Calle ESPALDILLAS, 8 NAVE 1, POLIGONO INDUSTRIAL ESP, 41500, Alcala De Guadaira, Sevilla, España;Alcala De Guadaira;41500;Lunes 08:00-15:00 | Martes 08:00-15:00 | Miércoles 08:00-15:00 | Jueves 08:00-15:00 | Viernes 08:00-15:00 | Sábado Cerrado | Domingo Cerrado;high;Recambios Caguykicars;google-maps;2026-09-21;La dirección pública difiere de la ficha original.;verified;4;9;Jueves;11:37;Abierto · cierra 15:00
926;REME AUTOMOCION Sl;REME AUTOMOCION Sl;Avenida DE ANDALUCIA, 226, 41702, Dos Hermanas, Sevilla, España;Dos Hermanas;41702;Lunes 08:30-14:00 / 16:30-20:00 | Martes 08:30-14:00 / 16:30-20:00 | Miércoles 08:30-14:00 / 16:30-20:00 | Jueves 08:30-14:00 / 16:30-20:00 | Viernes 08:30-14:00 / 16:30-20:00 | Sábado 09:00-13:00 | Domingo Cerrado;high;Reme Automoción;google-business;2026-09-21;;verified;1;7;Lunes;10:28;Abierto · cierra 14:00
921;GERARDO TALLERES S.L.;GERARDO TALLERES S.L.;POL. LA PALMERA - AVDA PALMERA 53 B, 41703, Dos Hermanas, Sevilla, España;Dos Hermanas;41703;Lunes 07:00-15:00 | Martes 07:00-15:00 | Miércoles 07:00-15:00 | Jueves 07:00-15:00 | Viernes 07:00-14:00 | Sábado Cerrado | Domingo Cerrado;high;Gerardo Talleres S.L.;google-business;2026-09-21;;verified;3;1;Miércoles;07:43;Abierto · cierra 15:00
915;AUTORECAMBIOS JUNQUERA SOCIEDAD LIMITADA;AUTORECAMBIOS JUNQUERA SOCIEDAD LIMITADA;Avenida CADIZ 75, 41720, Los Palacios Y Villafranca, Sevilla, España;Los Palacios Y Villafranca;41720;Lunes 09:00-14:00 / 16:00-20:00 | Martes 09:00-14:00 / 16:00-20:00 | Miércoles 09:00-14:00 / 16:00-20:00 | Jueves 09:00-14:00 / 16:00-20:00 | Viernes 09:00-14:00 / 16:00-20:00 | Sábado 09:00-14:00 | Domingo Cerrado;high;Auto Recambios Junquera;google-business;2026-09-21;;verified;5;5;Viernes;10:43;Abierto · cierra 14:00
910;XERA AUTOMOCION, SL;XERA AUTOMOCION, SL;CTRA SU EMINENCIA, 26, 41006, Sevilla, Sevilla, España;Sevilla;41006;Lunes 07:00-18:00 | Martes 07:00-18:00 | Miércoles 07:00-18:00 | Jueves 07:00-18:00 | Viernes 07:00-18:00 | Sábado 09:00-13:00 | Domingo Cerrado;medium;Automares Su Eminencia;official-web;2026-09-21;"Mismo centro histórico Su Eminencia 26; horario del grupo/centro asociado. Confirmar el departamento exacto.";associated;;;;;
903;AUTOS MONTAÑO;MARIO MONTAÑO LOPEZ;Calle CASTILLO LASTRUCCI,Nº 17, 41340, Tocina, Sevilla, España;Tocina;41340;Lunes 09:30-14:00 / 17:30-20:00 | Martes 09:30-14:00 / 17:30-20:00 | Miércoles 09:30-14:00 / 17:30-20:00 | Jueves 09:30-14:00 / 17:30-20:00 | Viernes 09:30-14:00 / 17:30-20:00 | Sábado Cerrado | Domingo Cerrado;high;Autos Montaño;google-business;2026-09-21;;verified;16;9;Lunes;17:30;Apertura 17:30 · cierra 20:00
897;AUTOREPUESTOS PAVON SL;AUTOREPUESTOS PAVON SL;Calle VIRGEN DE LOS DOLORES 20, 41940, Tomares, Sevilla, España;Tomares;41940;Lunes 08:30-14:00 / 16:30-19:30 | Martes 08:30-14:00 / 16:30-19:30 | Miércoles 08:30-14:00 / 16:30-19:30 | Jueves 08:30-14:00 / 16:30-19:30 | Viernes 08:30-14:00 / 16:30-19:30 | Sábado 09:30-13:30 | Domingo Cerrado;high;Autorrepuestos Pavón;google-business;2026-09-21;;verified;11;2;Lunes;08:33;Abierto · cierra 14:00
889;COCHESUR MOTOR, SL;COCHESUR MOTOR, SL;Calle DESARROLLO 43, 41927, Mairena Del Aljarafe, Sevilla, España;Mairena Del Aljarafe;41927;Lunes 09:30-13:30 / 17:00-20:30 | Martes 09:30-13:30 / 17:00-20:30 | Miércoles 09:30-13:30 / 17:00-20:30 | Jueves 09:30-13:30 / 17:00-20:30 | Viernes 09:30-13:30 / 17:00-20:30 | Sábado 10:30-13:30 | Domingo Cerrado;high;Cochesur Mairena del Aljarafe;google-business;2026-09-21;;verified;7;4;Martes;09:30;Apertura 09:30 · cierra 13:30
881;FERO CAR DETAILS SL;FERO CAR DETAILS SL;Calle LISBOA, 200 CP, 41006, Sevilla, Sevilla, España;Sevilla;41006;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;;;;;
880;(TECSA)FYRSA;FOMENTO Y REPARACION DE AUTOMOVILES SA;Calle ALAVA, 7, 41007, Sevilla, Sevilla, España;Sevilla;41007;NO VERIFICADO;unknown;;public-search;2026-09-21;No se ha encontrado un horario público inequívoco para esta ficha. Confirmar antes de visitar.;unknown;11;7;Lunes;11:31;Horario no verificado · confirmar antes
876;RECAMBIOS CASTI Sl;RECAMBIOS CASTI Sl;Calle BETIS, 6, 41702, Dos Hermanas, Sevilla, España;Dos Hermanas;41702;Lunes 07:00-14:00 / 16:00-19:00 | Martes 07:00-14:00 / 16:00-19:00 | Miércoles 07:00-14:00 / 16:00-19:00 | Jueves 07:00-14:00 / 16:00-19:00 | Viernes 07:00-14:00 | Sábado Cerrado | Domingo Cerrado;high;Recambios Casti S.L.;google-business;2026-09-21;;verified;;;;;
875;ANDRÉS J. LÓPEZ GONZÁLEZ;ANDRÉS J. LÓPEZ GONZÁLEZ;P.I. LOS VENTOLINES, 10, 41840, Pilas, Sevilla, España;Pilas;41840;Lunes 09:00-19:00 | Martes 09:00-19:00 | Miércoles 09:00-19:00 | Jueves 09:00-19:00 | Viernes 09:00-14:00 | Sábado Cerrado | Domingo Cerrado;medium;Recambios Andrés López;google-business;2026-09-21;La dirección publicada difiere ligeramente de la ficha.;associated;13;9;Miércoles;14:49;Abierto · cierra 19:00
873;PINO IGLESIAS E HIJOS SL;PINO IGLESIAS E HIJOS SL;P.I.EL MALECON, 86, 41300, Rinconada (La), Sevilla, España;Rinconada (La);41300;Lunes 09:00-14:00 / 16:30-19:30 | Martes 09:00-14:00 / 16:30-19:30 | Miércoles 09:00-14:00 / 16:30-19:30 | Jueves 09:00-14:00 / 16:30-19:30 | Viernes 09:00-14:00 / 16:30-19:30 | Sábado Cerrado | Domingo Cerrado;high;Pino Iglesias e Hijos;official-web;2026-09-21;;verified;;;;;
